1582791591642617200;76,9
1582791711226127700;75,1
1582791833369717200;73,3
1582791953562733600;71,6
1582792075302714200;70,1
1582792194029494700;68,5
1582792315451391200;67,2
1582792434604912100;65,8
1582792562852866700;64,4
1582792676448426500;63,2
1582792798481095700;62,1
1582792917254182100;61,0
1582793038858492300;59,9
1582793159546993400;58,9
1582793285114696100;57,9
1582793400250810100;56,9
1582793519706756200;56,0
1582793641193316100;55,1
1582793762176474400;54,2
1582793883136116500;53,4
1582794002828456700;52,6
1582794123288337900;51,8
1582794243712255400;51,1
1582794363657933200;50,3
1582794485681469500;49,7
1582794605138815100;49,0
1582794727304573400;48,3
1582794847450627700;47,9
1582795330952181100;45,4
1582795451608287400;44,9
1582795570120824600;44,3
1582795692835822800;43,8
1582795811433688200;43,3
1582795938178072800;42,8
1582796055035335300;42,3
1582796173030687100;41,9
1582796293395677200;41,5
1582796412231840100;41,1
1582796534951500900;40,6
1582796652869167500;40,2
1582796775928735400;39,8
1582796895878794600;39,4
1582797016810342500;39,1
1582797136659045900;38,7
1582797257095014900;38,3
1582797377923231900;38,0
1582797498381391700;37,7
1582797618460995400;37,3
1582797738903824300;37,0
1582797859762405300;36,7
1582797986762661300;36,3
1582798101832674100;36,1
1582798222468731100;35,8
1582798342010217300;35,5
1582798463024305400;35,2
1582798582877027300;35,0
1582798708700232900;34,8
1582798824660484200;34,5
1582798946031606800;34,2
1582799065869728400;34,0
1582799185581906500;33,8
1582799306918649100;33,5
1582799423884332800;33,3
1582799550283219600;33,1
1582799663599445000;32,9
1582799787963972600;32,7
1582799908892227900;32,4
1582800029827100600;32,2
1582800151082724200;32,0
1582800269447245100;31,9
1582800390230477200;31,7
1582800511935919600;31,4
1582800632186027700;31,2
1582800752129469900;31,1
1582800869270024600;30,9
1582800993478930200;30,8
1582801113874798700;30,5
1582801240123719300;30,4
1582801354330351600;30,2
1582801478524099200;30,1
1582801595298871400;29,9
1582801720334827500;29,8
1582801836062848500;29,3
1582801957296394700;29,1
1582802080730822800;29,0
1582802204809785300;28,9
1582802320766218500;28,8
1582802442248546600;28,6
1582802560409393000;28,5
1582802683801634100;28,3
1582802805433397300;28,2
1582802922898899000;28,1
1582803042164287700;28,0
1582803164293889700;27,9
1582803283354685200;27,8
1582803405416741900;27,6
1582803530206651200;27,5
1582803647201287200;27,4
1582803764897104100;27,3
1582803885668689200;27,2
1582804007207758000;27,1
1582804128338891200;27,0
1582804250545023700;26,9
1582804367770552400;26,8
1582804488596873700;26,7
1582804611222958100;26,5
1582804732960958300;26,5
1582804846052226500;26,3
1582804970708126500;26,2
1582805098124726500;26,2
1582805217208945800;26,1
1582805336047080700;26,0
1582805458819550400;25,9
1582805573952432100;25,8
1582805694853082000;25,8
1582805813274610000;25,7
1582805935444395700;25,5
1582806055791504100;25,5
1582806175135370800;25,4
1582806294538971800;25,3
1582806414316886100;25,3
1582806534973907000;25,2
1582806657241539100;25,1
1582806776985903600;25,1
1582806898986316500;25,0
